id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
1,5.00E-06,udp,-,INT,2,0,168,0,166666.6604,254,0,112000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,84,0,0,0,3,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance
2,6.00E-06,ptp,-,INT,2,0,208,0,125000.0002,254,0,100000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,100,0,0,0,2,2,1,1,1,2,0,0,0,26,2,0,Fuzzers
3,0.035881,tcp,-,FIN,60,60,3612,49930,3315.871473,31,29,792242.7,10945162,7,24,0.602967,0.59796,36.997871,36.958259,255,3251836889,1106775189,255,0.00076,0.000591,0.000143,60,832,0,0,9,0,1,1,1,1,0,0,0,4,3,0,Normal
4,0.828187,tcp,-,FIN,18,20,992,5620,44.676177,62,252,9089.790031,51650.48439,6,8,48.716584,43.10042,2402.998771,2329.70337,255,824768709,3427013308,255,0.0543,0.00856,0.045722,55,281,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
5,0.002413,udp,dns,CON,2,2,142,176,1242.236022,31,29,241821.9535,294824.0319,0,0,0.008,0.001,0,0,0,0,0,0,0,0,0,73,89,0,0,4,0,4,1,1,3,0,0,0,1,2,0,Normal
6,0.0169,tcp,-,FIN,40,40,2544,23400,4730.539049,31,29,1187545,10931258,7,14,0.419822,0.414898,26.338566,25.258104,255,3421102138,3438912239,255,0.000646,0.000519,0.000137,64,585,0,0,9,0,2,1,1,3,0,0,0,3,6,0,Normal
7,0.765945,tcp,ftp,FIN,14,12,752,684,32.639294,254,252,7279.867676,6538.302736,4,4,58.90571,64.387367,3026.566892,78.349036,255,177151243,1059375227,255,0.111538,0.057677,0.053858,54,57,0,0,4,1,1,1,1,4,1,1,0,1,4,0,Fuzzers
8,7.00E-06,udp,-,INT,2,0,108,0,333333.3213,254,0,138666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,52,0,0,0,14,2,10,10,1,14,0,0,0,10,14,0,Fuzzers
9,0.000876,udp,dns,CON,2,2,146,174,3436.42608,31,29,668957.625,815578.4373,0,0,0.008,0.004,0,0,0,0,0,0,0,0,0,73,89,0,0,3,0,9,1,1,1,0,0,0,1,3,0,Normal
10,6.00E-06,udp,-,INT,2,0,76,0,200000.0057,254,0,62400000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2,2,2,1,1,2,0,0,0,1,6,0,Fuzzers
11,0.245684,tcp,-,FIN,10,6,694,266,61.054036,254,252,20351.3458,7293.92236,2,1,24.212776,44.42,1259.320643,66.381583,255,2582314035,2889698440,255,0.064768,0.023623,0.041147,69,45,0,0,9,1,3,3,1,9,0,0,0,3,9,0,Fuzzers
12,5.00E-06,udp,dns,INT,2,0,118,0,333333.3212,254,0,152000000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,57,0,0,0,30,2,17,17,17,30,0,0,0,17,30,0,Generic
13,1.00E-06,udp,dns,INT,2,0,116,0,200000.0052,254,0,91200000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,49,2,41,41,19,49,0,0,0,42,49,0,Generic
14,8.00E-06,unas,-,INT,2,0,202,0,166666.6602,254,0,133333328,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,2,4,4,4,5,0,0,0,4,5,0,Backdoor
15,0.528797,tcp,-,FIN,12,8,1136,746,35.930749,254,252,15673.37015,9833.678714,3,2,47.296631,72.791718,3435.923829,130.618006,255,662385154,2699519609,255,0.034925,0.019247,0.01562,94,93,0,0,7,1,2,2,1,7,0,0,0,2,7,0,Fuzzers
16,0,udp,dns,INT,2,0,118,0,125000.0006,254,0,57000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,57,0,0,0,6,2,6,6,6,6,0,0,0,6,6,0,Generic
17,6.904251,udp,dns,INT,116,0,9048,0,16.6563,254,0,10393.59379,0,0,0,60.036988,0,92.109902,0,0,0,0,0,0,0,0,78,0,0,0,44,2,5,5,5,5,0,0,0,44,5,0,Fuzzers
18,4.00E-06,udp,dns,INT,2,0,110,0,111111.1079,254,0,50666664,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,57,0,0,0,29,2,18,18,18,29,0,0,0,20,29,0,Generic
19,0.05907,tcp,-,FIN,34,36,2238,13506,1168.501248,31,29,293310.79,1778154.126,7,11,1.779576,1.671317,139.50551,132.150268,255,2685628319,540524548,255,0.000685,0.000546,0.000138,66,375,0,0,6,0,3,1,1,3,0,0,0,7,9,0,Normal
20,59.991442,arp,-,INT,2,0,98,0,0.01666,0,0,6.1342,0,0,0,59996.031,0,11.87539,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal
