id,attack_cat
1,Reconnaissance
2,Fuzzers
3,Normal
4,Exploits
5,Normal
6,Normal
7,Fuzzers
8,Fuzzers
9,Normal
10,Fuzzers
11,Fuzzers
12,Generic
13,Generic
14,Backdoor
15,Fuzzers
16,Generic
17,Fuzzers
18,Generic
19,Normal
20,Normal
21,Exploits
22,Normal
23,Fuzzers
24,Reconnaissance
25,Normal
26,Exploits
27,Generic
28,Exploits
29,Fuzzers
30,Exploits
31,Generic
32,Fuzzers
33,Normal
34,Fuzzers
35,Worms
36,Generic
37,Exploits
38,Normal
39,Normal
40,Fuzzers
41,Exploits
42,Exploits
43,Normal
44,Generic
45,Normal
46,DoS
47,Normal
48,Generic
49,Normal
50,Normal
51,Generic
52,Normal
53,Normal
54,Exploits
55,Exploits
56,DoS
57,Normal
58,Normal
59,Generic
60,Normal
61,Generic
62,Generic
63,Exploits
64,Generic
65,Exploits
66,Generic
67,Generic
68,DoS
69,Normal
70,Reconnaissance
71,Generic
72,Fuzzers
73,Normal
74,Exploits
75,Generic
76,Reconnaissance
77,Fuzzers
78,Exploits
79,Generic
80,Generic
81,Exploits
82,DoS
83,Generic
84,DoS
85,Exploits
86,Fuzzers
87,Fuzzers
88,Exploits
89,Normal
90,Normal
91,Normal
92,Normal
93,Normal
94,Exploits
95,Normal
96,Normal
97,Shellcode
98,Backdoor
99,Normal
100,Normal
101,Generic
102,Generic
103,Exploits
104,Generic
105,Generic
106,Normal
107,Exploits
108,Generic
109,Exploits
110,Exploits
111,Exploits
112,Reconnaissance
113,Generic
114,Generic
115,Fuzzers
116,Reconnaissance
117,Exploits
118,Exploits
119,Normal
120,Generic
121,Normal
122,Generic
123,Normal
124,Normal
125,Fuzzers
126,Generic
127,Normal
128,Exploits
129,Exploits
130,Normal
131,Generic
132,Fuzzers
133,Exploits
134,Normal
135,Normal
136,Generic
137,Generic
138,Normal
139,Generic
140,Normal
141,Generic
142,Generic
143,Exploits
144,Exploits
145,Normal
146,Generic
147,Generic
148,Generic
149,Normal
150,DoS
151,Generic
152,Fuzzers
153,Exploits
154,Generic
155,Normal
156,Reconnaissance
157,Reconnaissance
158,Fuzzers
159,Exploits
160,Fuzzers
161,Generic
162,Normal
163,Normal
164,Fuzzers
165,Exploits
166,Normal
167,Exploits
168,Backdoor
169,Normal
170,Generic
171,Exploits
172,DoS
173,Reconnaissance
174,Normal
175,Generic
176,Generic
177,Normal
178,DoS
179,Backdoor
180,Normal
181,Generic
182,Reconnaissance
183,Generic
184,Normal
185,Normal
186,Generic
187,DoS
188,Generic
189,Normal
190,Fuzzers
191,Normal
192,Fuzzers
193,Exploits
194,Normal
195,DoS
196,Generic
197,Exploits
198,Fuzzers
199,Normal
200,Normal
201,Fuzzers
202,Normal
203,Exploits
204,Normal
205,Generic
206,DoS
207,Normal
208,Fuzzers
209,Normal
210,Exploits
211,Generic
212,Normal
213,Fuzzers
214,Reconnaissance
215,Fuzzers
216,Fuzzers
217,Exploits
218,Normal
219,DoS
220,Normal
221,Normal
222,Normal
223,Exploits
224,Fuzzers
225,Normal
226,Generic
227,Generic
228,Generic
229,Fuzzers
230,Normal
231,Reconnaissance
232,Normal
233,Fuzzers
234,Reconnaissance
235,Fuzzers
236,Exploits
237,Exploits
238,Generic
239,Exploits
240,Generic
241,DoS
242,Reconnaissance
243,Generic
244,Exploits
245,Generic
246,Fuzzers
247,Reconnaissance
248,Analysis
249,Generic
250,Normal
251,Normal
252,Normal
253,Fuzzers
254,Normal
255,Reconnaissance
256,Generic
257,Fuzzers
258,Reconnaissance
259,Normal
260,Generic
261,Generic
262,Generic
263,Exploits
264,Shellcode
265,Reconnaissance
266,Exploits
267,Reconnaissance
268,DoS
269,Exploits
270,Normal
271,Generic
272,Exploits
273,Generic
274,Fuzzers
275,Reconnaissance
276,Exploits
277,Normal
278,Normal
279,Normal
280,Fuzzers
281,Fuzzers
282,Exploits
283,Normal
284,Generic
285,Fuzzers
286,Exploits
287,Generic
288,Exploits
289,Normal
290,DoS
291,Normal
292,Exploits
293,Normal
294,DoS
295,DoS
296,Exploits
297,Normal
298,Normal
299,Shellcode
